operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
1,0,default_vehtype,route,False,5700.0,5909.983232618476,2969;-1;-1,2974;-1;-1,2432.7191197010993,0.9149273886447902,0.91468411673282,0.0,,0,,0,,,2969;7192;1664;337;1075;4198;1071;1070;1069;1067;1504;4396;710;2281;4664;6260;3300;1832;708;6180;2405;6169;2744;2567;2576;3077;3241;88;2758;2742;2448;2353;6140;7386;3742;7100;6318;737;6639;2446;2301;1992;1990;1988;1985;3729;5498;5496;5699;5494;6307;374;7114;3246;5330;661;445;6080;7381;364;3029;3886;5711;6045;2157;4817;456;5901;7605;2830;5852;6913;1321;597;2204;6066;6049;7367;2188;2186;5744;6033;5746;6031;146;2828;2974,2969:5700;7192:5703.603642951946;1664:5706.8575389519465;337:5714.617770951946;1075:5715.641610951946;4198:5716.623258951946;1071:5717.625786951946;1070:5732.089074951946;1069:5732.827362951945;1067:5735.4894189519455;1504:5739.943194951946;4396:5740.169490951946;710:5740.720146951946;2281:5741.725842951946;4664:5745.603834951946;6260:5746.049730951946;3300:5746.648842951946;1832:5749.439058951946;708:5749.978122951946;6180:5750.401554951945;2405:5752.623954951945;6169:5756.101074951945;2744:5760.7016349519445;2567:5762.544594951944;2576:5771.033154951944;3077:5773.165794951944;3241:5776.294674951944;88:5778.221514951944;2758:5780.184954951945;2742:5780.5913949519445;2448:5783.777034951944;2353:5789.9779149519445;6140:5795.148954951945;7386:5796.491394951945;3742:5804.150394951945;7100:5804.690034951945;6318:5805.1681149519445;737:5806.0838349519445;6639:5807.933034951944;2446:5809.504314951944;2301:5811.801354951945;1992:5812.826394951945;1990:5814.523314951945;1988:5816.977314951945;1985:5820.499074951945;3729:5822.846514951944;5498:5824.243914951944;5496:5827.151154951944;5699:5827.848594951944;5494:5828.952354951944;6307:5829.169194951944;374:5837.470194951944;7114:5839.685202951944;3246:5840.8230189519445;5330:5841.570594951944;661:5842.562034951944;445:5845.591722951944;6080:5848.415130951944;7381:5848.824018951944;364:5849.259402951944;3029:5851.283610951944;3886:5851.781634951944;5711:5854.3212189519445;6045:5855.715498951945;2157:5859.904026951945;4817:5860.380810951945;456:5860.995690951945;5901:5861.751258951945;7605:5865.222954951944;2830:5865.4523469519445;5852:5871.979074951944;6913:5873.875482951944;1321:5879.023914951944;597:5879.486802951944;2204:5881.044090951944;6066:5881.6897869519435;6049:5885.916114951943;7367:5888.189658951943;2188:5894.852826951943;2186:5896.129098951943;5744:5898.144522951943;6033:5899.5139629519435;5746:5901.437370951943;6031:5902.928994951943;146:5903.890122951943;2828:5904.9819309519435;2974:5909.983232618476
1,0,default_vehtype,boarding,True,5909.983232618476,5939.983232618476,2974;-1;-1,2974;-1;-1,0.0,0.91468411673282,0.91468411673282,0.0,,0,84,1,84,,,
1,2,default_vehtype,route,False,5703.935258306722,5894.348987733051,2970;-1;-1,2980;-1;-1,2063.6293026972107,0.7718863140224619,0.7716799510921921,0.0,,0,78,1,,,2970;671;544;7400;5449;6824;4848;3271;4846;4989;5000;337;1075;5648;5759;205;5793;1407;5826;7411;4686;5074;5295;5274;7181;604;603;602;3851;4573;1400;971;598;1368;591;585;940;1370;939;1903;983;3921;840;2881;5099;1157;2058;2092;915;2980,2970:5703.935258306722;671:5704.9653744687075;544:5707.654934468707;7400:5708.730494468708;5449:5709.929534468708;6824:5714.182814468708;4848:5721.6631344687075;3271:5727.216254468707;4846:5729.089334468707;4989:5741.361854468708;5000:5746.121414468708;337:5753.881646468708;1075:5754.905486468708;5648:5755.706270468708;5759:5761.264598468708;205:5766.408854468707;5793:5770.530206468708;1407:5772.150350468708;5826:5774.430662468708;7411:5777.329310468708;4686:5778.400022468708;5074:5785.340534468708;5295:5785.570790468708;5274:5788.949606468708;7181:5793.458894468708;604:5797.037294468709;603:5798.100878468709;602:5798.954006468709;3851:5799.957398468709;4573:5804.263718468708;1400:5805.996398468708;971:5809.794830468708;598:5810.862086468708;1368:5811.822422468708;591:5817.6933744687085;585:5830.864622468708;940:5837.444486468708;1370:5844.4711104687085;939:5845.1677824687085;1903:5845.989374468709;983:5846.971886468708;3921:5850.770030468709;840:5855.330870468709;2881:5861.961494468709;5099:5863.114358468709;1157:5867.8535013258515;2058:5873.64332989728;2092:5877.032472754423;915:5882.150644182994;2980:5894.348987733051
1,2,default_vehtype,boarding,True,5894.348987733051,5924.348987733051,2980;-1;-1,2980;-1;-1,0.0,0.7716799510921921,0.7716799510921921,0.0,,0,78,1,,78,,
1,3,default_vehtype,boarding,True,5879.377403744783,5909.377403744783,2969;-1;-1,2969;-1;-1,0.0,0.933356001670524,0.933356001670524,0.0,,0,86,1,86,,,
1,0,default_vehtype,route,False,5939.983232618476,5988.496425922236,2974;-1;-1,2987;-1;-1,673.794351441106,0.91468411673282,0.9146167372976759,0.0,,0,84,1,,,2974;6479;7359;3154;6028;5745;6035;5743;6038;6041;7365;2179;3064;6023;3524;7356;4225;2987,2974:5939.983232618476;6479:5940.483810951943;7359:5945.985690951943;3154:5947.077498951943;6028:5948.038626951943;5745:5949.530250951943;6035:5951.453658951943;5743:5952.823098951943;6038:5954.838522951944;6041:5956.114794951944;7365:5962.777962951944;2179:5966.786202951944;3064:5968.0881789519435;6023:5969.352858951944;3524:5971.0943229519435;7356:5981.973162951944;4225:5986.557690951944;2987:5988.496425922236
1,3,default_vehtype,route,False,5909.377403744783,5989.009786575647,2969;-1;-1,2990;-1;-1,728.1426288791162,0.933356001670524,0.9332831874076362,0.0,,0,86,1,,,2969;7192;1664;1659;538;4990;4939;5252;3070;1657;4439;4842;1272;3423;4282;4975;6830;4349;4937;669;5061;7265;3848;534;2839;5449;2990,2969:5909.377403744783;7192:5912.981046696729;1664:5916.234942696729;1659:5920.99450269673;538:5922.1455426967295;4990:5925.842622696729;4939:5927.233182696729;5252:5932.657902696729;3070:5933.694342696729;1657:5941.211142696729;4439:5946.841302696729;4842:5951.22586269673;1272:5951.410782696729;3423:5952.627342696729;4282:5956.404822696729;4975:5957.454582696729;6830:5958.227502696729;4349:5958.776382696729;4937:5963.145942696729;669:5973.453342696729;5061:5979.261702696729;7265:5980.044942696729;3848:5981.019582696729;534:5985.064542696729;2839:5986.42318269673;5449:5987.62222269673;2990:5989.009786575647
1,0,default_vehtype,boarding,True,5988.496425922236,6018.496425922236,2987;-1;-1,2987;-1;-1,0.0,0.9146167372976759,0.9146167372976759,0.0,,0,84,1,,84,,
1,1,default_vehtype,route,False,5850.749649538631,6047.8413353307715,2975;-1;-1,2969;-1;-1,1904.5396763125818,0.6894324953408213,0.6892420413731901,0.0,,0,81,1,,,2975;1166;429;3125;3406;2825;1944;130;99;4526;714;2800;4332;799;3653;3825;7127;1836;4248;5046;7138;6879;1367;3637;3640;3643;7179;5275;5297;5072;1464;2847;5825;4587;5794;3202;2065;2023;4203;4198;336;2969,2975:5850.749649538631;1166:5860.860522282718;429:5862.262842282718;3125:5863.516362282719;3406:5875.870722282719;2825:5878.340442282719;1944:5879.651802282719;130:5882.0394422827185;99:5882.519682282718;4526:5890.929282282718;714:5893.726122282718;2800:5895.7325222827185;4332:5896.548162282718;799:5897.729082282718;3653:5902.325322282718;3825:5903.573922282718;7127:5947.134042282718;1836:5948.485002282718;4248:5963.030202282717;5046:5979.370722282717;7138:5981.009322282717;6879:5987.275722282718;1367:5998.768602282717;3637:6000.661722282717;3640:6001.514850282717;3643:6002.578434282717;7179:6006.156834282718;5275:6010.666122282718;5297:6014.044938282718;5072:6014.275194282718;1464:6021.215706282718;2847:6022.286418282718;5825:6025.185066282718;4587:6027.465378282718;5794:6029.085522282719;3202:6033.206874282719;2065:6038.351130282718;2023:6043.909458282718;4203:6044.710242282718;4198:6045.691890282718;336:6046.715010282718;2969:6047.8413353307715
1,3,default_vehtype,boarding,True,5989.009786575647,6019.009786575647,2990;-1;-1,2990;-1;-1,0.0,0.9332831874076362,0.9332831874076362,0.0,,0,86,1,,86,,
