sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0015676021575927734,0,0,0,0,0,0,0.0,0.00301
60,0.0,0.0,0.0,0.0,0.001991748809814453,0,0,0,0,0,0,0.0,0.0027
120,0.0,0.0,0.0,0.0,0.003149271011352539,0,0,0,0,0,0,0.0,0.00252
180,0.0,0.0,0.0,0.0,0.0015859603881835938,0,0,0,0,0,0,0.06132,0.00255
240,0.0,0.0,0.0,0.0,0.0033369064331054688,0,0,0,0,0,0,0.0,0.00269
300,0.0,0.036234140396118164,0.0,0.0015115737915039062,0.0025260448455810547,0,0,5,0,1,0,0.03711,0.04129
360,0.0,0.018750429153442383,0.0,0.013775348663330078,0.0016071796417236328,4,4,9,0,2,0,0.07726,0.03647
420,0.0,0.0,0.0,0.0,0.0035829544067382812,2,2,2,0,0,2,0.0,0.00354
480,0.0,0.0,0.0,0.0,0.001798391342163086,1,1,1,0,0,1,0.0,0.00297
540,0.0,0.0,0.0,0.0,0.001012563705444336,1,1,1,0,0,1,0.0,0.0032
600,0.0,0.0,0.0,0.0,0.0031905174255371094,1,1,1,0,0,1,0.0,0.00416
660,0.0,0.006075382232666016,0.0,0.0015621185302734375,0.0032379627227783203,0,0,5,0,1,0,0.00792,0.0116
720,0.0,0.0,0.0,0.0,0.0031099319458007812,1,1,1,0,0,1,0.0,0.00336
780,0.0,0.0,0.0,0.0,0.003118276596069336,1,1,1,0,0,1,0.0,0.00333
840,0.0,0.031188488006591797,0.0,0.0,0.0031201839447021484,0,0,3,0,1,0,0.06841,0.03551
900,0.0,0.017456769943237305,0.0,0.11639547348022461,0.003203868865966797,1,1,11,0,3,0,0.07156,0.13926
960,0.0,0.013196468353271484,0.0,0.03836488723754883,0.0030333995819091797,5,4,13,0,3,1,0.08728,0.05614
1020,0.0,0.0,0.0,0.0005040168762207031,0.0015215873718261719,3,3,3,0,1,3,0.0,0.00408
1080,0.0,0.06398940086364746,0.0,0.09252810478210449,0.0025527477264404297,1,5,9,0,2,4,0.12023,0.16012
1140,0.0,0.0,0.0,0.024257659912109375,0.003491640090942383,8,8,8,0,2,3,0.10133,0.02878
1200,0.0,0.0,0.001554250717163086,0.025097370147705078,0.003202199935913086,8,7,7,0,2,2,0.11112,0.03094
1260,0.0,0.0,0.0,0.0,0.003110170364379883,4,3,3,0,1,2,0.0,0.00418
1320,0.0,0.03248476982116699,0.0,0.03468155860900879,0.0031049251556396484,2,4,7,0,1,3,0.05441,0.07229
1380,0.0,0.0,0.0,0.0,0.0019550323486328125,7,7,7,0,1,3,0.0,0.00446
1440,0.0,0.0,0.0,0.0005035400390625,0.001522064208984375,2,2,2,0,0,2,0.03028,0.00362
1500,0.0,0.09977388381958008,0.0,0.1041562557220459,0.003536701202392578,2,2,19,0,3,2,0.16338,0.20801
1560,0.0,0.0,0.0,0.0,0.0030155181884765625,5,5,5,0,1,3,0.05374,0.00456
1620,0.0,0.0,0.0,0.0,0.0032138824462890625,3,3,3,0,1,2,0.10772,0.00434
1680,0.0,0.07322525978088379,0.0,0.004786491394042969,0.0034422874450683594,2,2,9,0,2,3,0.22932000000000002,0.08306
1740,0.0,0.0,0.0,0.006393909454345703,0.0015642642974853516,6,4,4,0,1,3,0.0,0.01034
1800,0.0,0.0,0.0,0.0,0.002026796340942383,4,4,4,0,1,3,0.0,0.004
1860,0.0,0.0,0.0,0.0,0.002523660659790039,2,2,2,0,1,1,0.0,0.00382
1920,0.0,0.0,0.0005054473876953125,0.0,0.0015137195587158203,2,2,2,0,0,2,0.0,0.00359
1980,0.0,0.0,0.0,0.0,0.0031654834747314453,2,2,2,0,0,2,0.0,0.00417
2040,0.0,0.0818929672241211,0.0,0.014310359954833984,0.0031440258026123047,0,2,14,0,2,1,0.08782999999999999,0.10112
2100,0.0,0.039301395416259766,0.0,0.051346540451049805,0.0030341148376464844,11,6,14,0,3,1,0.0939,0.09506
2160,0.0,0.0,0.0,0.0010035037994384766,0.0025224685668945312,4,2,4,0,2,1,0.0169,0.00475
2220,0.0,0.0,0.0,0.0,0.0031189918518066406,2,2,2,0,0,3,0.0,0.0036
2280,0.0,0.03287911415100098,0.0,0.0,0.0031080245971679688,2,2,6,0,1,3,0.07135,0.03811
2340,0.0,0.0,0.0,0.0,0.0031290054321289062,5,4,4,0,1,1,0.04574,0.00425
2400,0.0,0.020442485809326172,0.0,0.0,0.003475189208984375,1,1,6,0,1,1,0.02171,0.02547
2460,0.0,0.04106855392456055,0.0,0.019320249557495117,0.002035856246948242,2,2,6,0,1,2,0.07828,0.06407
2520,0.0,0.03943586349487305,0.0015239715576171875,0.03160858154296875,0.0015606880187988281,2,4,7,0,1,3,0.08108,0.07655
2580,0.0,0.040161848068237305,0.0015709400177001953,0.011926889419555664,0.004221200942993164,3,3,10,0,2,2,0.04455,0.05902
2640,0.0,0.0,0.0,0.0005078315734863281,0.0030465126037597656,7,3,5,0,2,1,0.0,0.00531
2700,0.0,0.04285717010498047,0.000518798828125,0.018155813217163086,0.003036022186279297,2,1,11,0,3,1,0.05667,0.06536
2760,0.0,0.03794527053833008,0.0,0.0033445358276367188,0.0037457942962646484,5,5,12,0,2,3,0.03912,0.04581
2820,0.0,0.0,0.0005049705505371094,0.0015146732330322266,0.003036975860595703,5,5,5,0,1,3,0.0,0.00628
2880,0.0,0.08157634735107422,0.0,0.019134998321533203,0.003537416458129883,2,2,11,0,3,2,0.16612,0.10537
2940,0.0,0.0,0.02107977867126465,0.0,0.002922534942626953,11,8,8,0,3,2,0.05863,0.02622
3000,0.0,0.017284870147705078,0.0098114013671875,0.0033655166625976562,0.0025703907012939453,5,5,10,0,3,2,0.04086,0.03526
3060,0.0,0.06419086456298828,0.0015590190887451172,0.08241057395935059,0.0030333995819091797,3,5,16,0,4,2,0.15494000000000002,0.15281
3120,0.0,0.0,0.020662307739257812,0.0,0.003020763397216797,11,8,8,0,3,3,0.0,0.02513
3180,0.0,0.0,0.0,0.0,0.0034863948822021484,3,3,4,0,1,3,0.0,0.0049
3240,0.0,0.0,0.0,0.0,0.0034744739532470703,3,3,3,0,0,4,0.0,0.00408
3300,0.0,0.0,0.0,0.0,0.003122091293334961,3,3,3,0,0,4,0.02942,0.0041
3360,0.0,0.0,0.0,0.0015468597412109375,0.001575469970703125,3,3,3,0,0,4,0.06205,0.00401
3420,0.0,0.03617572784423828,0.0,0.02219867706298828,0.003158092498779297,2,2,5,0,1,3,0.05812,0.06338
3480,0.0,0.0,0.0,0.02015542984008789,0.0032358169555664062,3,2,3,0,1,1,0.0,0.02422
3540,0.0,0.0,0.0010209083557128906,0.0,0.0015513896942138672,1,1,1,0,0,1,0.0,0.00331
3600,0.0,0.05692553520202637,0.0,0.0026471614837646484,0.0020799636840820312,1,1,10,0,2,1,0.10396,0.06357
3660,0.0,0.0,0.0015473365783691406,0.0,0.0011425018310546875,5,3,3,0,1,2,0.0,0.00401
3720,0.0,0.03143167495727539,0.0,0.007869482040405273,0.0031588077545166016,2,4,8,0,2,2,0.07281,0.04407
3780,0.0,0.0,0.0,0.0,0.003145933151245117,4,3,4,0,1,1,0.0,0.00455
3840,0.0,0.07207202911376953,0.0,0.0032601356506347656,0.0031785964965820312,1,3,8,0,2,2,0.15478999999999998,0.08019
3900,0.0,0.0,0.010155677795410156,0.0010068416595458984,0.0020132064819335938,8,6,6,0,2,2,0.0,0.0151
3960,0.0,0.0,0.004567384719848633,0.001016855239868164,0.002036571502685547,6,5,5,0,2,2,0.0,0.00895
4020,0.0,0.0,0.0030219554901123047,0.0,0.0030333995819091797,5,5,5,0,2,2,0.0,0.00793
4080,0.0,0.0,0.006616830825805664,0.001016378402709961,0.0020356178283691406,3,2,2,0,2,0,0.0,0.01091
4140,0.0,0.0,0.0010099411010742188,0.0,0.002022266387939453,2,2,2,0,0,2,0.0,0.00373
4200,0.0,0.0,0.0,0.0,0.0020208358764648438,2,2,2,0,0,2,0.0,0.00382
4260,0.0,0.03107166290283203,0.0015532970428466797,0.0,0.003551483154296875,1,1,4,0,1,1,0.03188,0.03583
4320,0.0,0.03079676628112793,0.0,0.015146017074584961,0.002541780471801758,1,3,6,0,1,2,0.13468,0.04984
4380,0.0,0.02657318115234375,0.0031425952911376953,0.006288290023803711,0.003127574920654297,5,4,7,0,2,2,0.14649,0.04012
4440,0.0,0.031218767166137695,0.0005438327789306641,0.002283334732055664,0.0024950504302978516,3,3,5,0,1,4,0.08621999999999999,0.03809
4500,0.0,0.0,0.0,0.003064870834350586,0.0031595230102539062,5,5,5,0,1,3,0.0,0.00863
4560,0.0,0.0,0.0,0.0,0.0015919208526611328,5,4,4,0,1,3,0.02441,0.00415
4620,0.0,0.038011789321899414,0.0,0.020154714584350586,0.0031414031982421875,2,4,6,0,1,3,0.08351,0.06258
