request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
43,BrokerDecisionRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:t_wait:284.38652593530605;t_drive:219.79905861563566;fare:192;add_fleet_vmt:4035.167422086645;chosen_by_broker:False|1:t_wait:200.9820240347617;t_drive:219.79905861563566;fare:192;add_fleet_vmt:4035.167422086645;chosen_by_broker:True,,,1,0,3260.982024034761,3480.7810826503974,192,0
46,BrokerDecisionRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:t_wait:88.04621968905076;t_drive:155.9438643409526;fare:141;add_fleet_vmt:2092.9249357992708;chosen_by_broker:False|1:t_wait:58.046219689050304;t_drive:155.9438643409526;fare:141;add_fleet_vmt:392.2779999999998;chosen_by_broker:True,,,1,1,3418.04621968905,3573.9900840300024,141,0
49,BrokerDecisionRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862693,122.87211071552242,0:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:12;add_fleet_vmt:518.7496270192777;chosen_by_broker:True|1:t_wait:59.33569130605338;t_drive:44.74465328586257;fare:12;add_fleet_vmt:617.3362049326322;chosen_by_broker:False,,,0,3,3647.5053019564502,3692.249955242313,12,0
47,BrokerDecisionRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046634,1654.6552573063896,0:t_wait:89.28571634340778;t_drive:216.57127949046617;fare:165;add_fleet_vmt:2467.1684024545975;chosen_by_broker:True|1:t_wait:288.132476296641;t_drive:216.57127949046617;fare:165;add_fleet_vmt:4043.9789538562786;chosen_by_broker:False,,,0,0,3509.2857163434082,3725.8569958338744,165,0
45,BrokerDecisionRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:t_wait:0;t_drive:319.8986440772669;fare:291;add_fleet_vmt:2915.378433977222;chosen_by_broker:False|1:t_wait:0;t_drive:319.8986440772669;fare:291;add_fleet_vmt:2915.378433977222;chosen_by_broker:True,,,1,1,3300.0,3722.2355217915524,291,0
50,BrokerDecisionRequest,1,3720,3720,2974;-1;-1,2970;-1;-1,,,,,215.12566102862468,2128.3671755038336,0:t_wait:73.58939042095699;t_drive:245.12566102862456;fare:212;add_fleet_vmt:2551.3290685783863;chosen_by_broker:True|1:t_wait:134.64243472624366;t_drive:245.12566102862456;fare:212;add_fleet_vmt:3384.608325884776;chosen_by_broker:False,,,0,0,3793.589390420957,4038.7150514495834,212,0
48,BrokerDecisionRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.2935470893493,3402.5930837155474,0:t_wait:126.62405315578235;t_drive:303.29354708934943;fare:340;add_fleet_vmt:4810.931240138002;chosen_by_broker:True|1:t_wait:218.2220204193709;t_drive:303.293547089349;fare:340;add_fleet_vmt:6297.002262572667;chosen_by_broker:False,,,0,4,3726.6240531557833,4029.9176002451336,340,0
53,BrokerDecisionRequest,1,3840,3840,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:230.44441122434182;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4532.098737427333;chosen_by_broker:False|1:t_wait:77.06827914707537;t_drive:237.20330926693805;fare:261;add_fleet_vmt:3253.964303450111;chosen_by_broker:True,,,1,1,3917.068279147076,4154.271588414014,261,0
52,BrokerDecisionRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:282.81637265962036;t_drive:84.27810741700068;fare:75;add_fleet_vmt:1297.3443078089692;chosen_by_broker:True|1:t_wait:123.78776031621192;t_drive:84.27810741700114;fare:75;add_fleet_vmt:1878.0646336937452;chosen_by_broker:False,,,0,0,4122.816372659622,4207.09448007662,75,0
51,BrokerDecisionRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:280.0016795881147;t_drive:308.9138289902776;fare:263;add_fleet_vmt:4624.01488138907;chosen_by_broker:True|1:t_wait:229.98696027803135;t_drive:308.9138289902771;fare:263;add_fleet_vmt:4706.596206520946;chosen_by_broker:False,,,0,1,4120.001679588114,4444.91397714982,263,0
