operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,0,default_vehtype,waiting,False,-60,-1,2980;-1;-1,2980;-1;-1,0.0,1.0,1.0,0.0,,0,,0,,,,
0,1,default_vehtype,route,False,180,409.9869602780313,2981;-1;-1,2966;-1;-1,2071.863435442099,0.8575946831862098,0.8573874968426657,0.0,,0,,0,,,2981;6320;3549;6384;4032;1804;4811;5237;608;459;2416;4011;5246;363;366;2314;2877;1748;2880;906;984;2268;1857;1806;1371;938;5442;4054;2205;1369;2047;1337;1873;1939;665;666;1885;668;1415;1041;1623;1383;2333;2966,2981:180;6320:183.37311885414516;3549:189.01035885414515;6384:189.27219885414516;4032:192.49383885414517;1804:193.40975085414516;4811:195.09239085414515;5237:199.83287085414514;608:208.69895085414515;459:209.02871085414515;2416:211.24235085414514;4011:211.90647885414515;5246:217.83164685414516;363:224.74033485414517;366:226.14541485414517;2314:227.29028685414517;2877:240.46139085414518;1748:241.57991085414517;2880:242.74170285414516;906:254.96701485414516;984:257.73671085414514;2268:258.48457485414514;1857:258.87049485414514;1806:259.53267885414516;1371:260.2028548541452;938:262.78398285414517;5442:272.50463085414515;4054:280.14462285414515;2205:285.89706285414513;1369:292.34322285414515;2047:293.28627885414517;1337:294.24762285414516;1873:310.72503885414517;1939:311.0660308541452;665:311.5881028541452;666:312.45721485414515;1885:313.44303885414513;668:326.81343885414515;1415:327.4425028541452;1041:344.12901713985946;1623:348.5122742827166;1383:359.59770285414515;2333:399.75158856843086;2966:409.9869602780313
0,1,default_vehtype,boarding,True,409.9869602780313,439.9869602780313,2966;-1;-1,2966;-1;-1,0.0,0.8573874968426657,0.8573874968426657,0.0,,0,0;1,2,0;1,,,
0,2,default_vehtype,route,False,360.0,439.6718980994563,2982;-1;-1,2977;-1;-1,552.6256270192777,0.7724415914984484,0.7723863289357464,0.0,,0,,0,,,2982;2809;7010;820;7498;276;2915;2661;7517;6201;7314;7529;7535;2931;2929;2927;2802;2977,2982:360;2809:365.7009673454251;7010:368.60844734542513;820:370.5894073454251;7498:371.05740734542513;276:371.16900734542514;2915:382.51500734542515;2661:389.74836734542515;7517:397.06032734542515;6201:397.9214473454252;7314:404.8167673454252;7529:412.0322473454252;7535:417.09179020256806;2931:420.74321877399666;2929:424.39464734542526;2927:429.4541902025681;2802:436.6696702025681;2977:439.6718980994563
0,2,default_vehtype,boarding,True,439.6718980994563,469.6718980994563,2977;-1;-1,2977;-1;-1,0.0,0.7723863289357464,0.7723863289357464,0.0,,0,4,1,4,,,
0,2,default_vehtype,route,False,469.6718980994563,483.14884481359366,2977;-1;-1,2983;-1;-1,112.30788928447757,0.7723863289357464,0.772375098146818,0.0,,0,4,1,,,2977;6202;7315;2983,2977:469.6718980994563;6202:473.56499020256814;7315:480.46031020256817;2983:483.14884481359366
0,2,default_vehtype,boarding,True,483.14884481359366,513.1488448135937,2983;-1;-1,2983;-1;-1,0.0,0.772375098146818,0.772375098146818,0.0,,0,4,1,,4,,
0,4,default_vehtype,route,False,300.0,525.0145605330423,2978;-1;-1,2970;-1;-1,1875.1213377753527,0.9458865003910399,0.9456989882572624,0.0,,0,,0,,,2978;4103;4326;7286;4302;5102;7160;7294;2701;3076;4023;7300;3914;5398;5400;4040;4041;5374;5418;5424;5403;6546;1200;7312;4332;799;3653;3825;7127;3766;3988;553;7132;7191;3566;4337;7134;6667;6711;1807;1653;6829;4349;4937;669;5061;7265;3848;534;2839;3560;2970,2978:300;4103:302.6189566950277;4326:307.9101166950277;7286:308.8270366950277;4302:310.2388366950277;5102:321.3473566950277;7160:322.8025966950277;7294:331.5210766950277;2701:337.3231966950277;3076:338.1725566950277;4023:346.0455166950277;7300:347.1876766950277;3914:348.37135669502766;5398:349.5481966950277;5400:350.87479669502767;4040:360.17959669502767;4041:363.1239166950277;5374:367.3764766950277;5418:368.4137566950277;5424:368.5570366950277;5403:369.6623566950277;6546:373.8892366950277;1200:378.4983166950277;7312:379.9920766950277;4332:380.8077166950277;799:381.9886366950277;3653:386.58487669502773;3825:387.83347669502774;7127:431.3935966950277;3766:432.33079669502774;3988:436.0663966950277;553:436.5246766950277;7132:446.4035566950277;7191:454.3607566950277;3566:456.1899166950277;4337:460.6881166950277;7134:461.7881566950277;6667:469.7202766950277;6711:485.57983669502767;1807:487.5070366950277;1653:493.3109566950277;6829:494.0838766950277;4349:494.6327566950277;4937:499.0023166950277;669:509.30971669502765;5061:515.1180766950276;7265:515.9013166950276;3848:516.8759566950276;534:520.9209166950276;2839:522.2795566950276;3560:523.3551166950276;2970:525.0145605330423
0,4,default_vehtype,boarding,True,525.0145605330423,555.0145605330423,2970;-1;-1,2970;-1;-1,0.0,0.9456989882572624,0.9456989882572624,0,,0,2,1,2,,,
0,2,default_vehtype,route,False,513.1488448135937,611.2980000000001,2983;-1;-1,2982;-1;-1,700.0444836962449,0.772375098146818,0.7723050936984485,0.0,,0,,0,,,2983;7527;2802;2251;7515;7037;7512;3274;2902;3901;7011;7336;4365;7288;1182;1001;6296;6301;2298;2295;2293;4102;4325;7285;1218;2982,2983:513.1488448135937;7527:517.6757902025681;2802:524.8912702025681;2251:531.786590202568;7515:532.6477102025681;7037:539.9596702025681;7512:547.193030202568;3274:558.539030202568;2902:558.650630202568;3901:559.1186302025679;7011:561.0995902025679;7336:564.0070702025679;4365:571.588190202568;7288:572.7113902025679;1182:573.628310202568;1001:578.9194702025679;6296:581.278790202568;6301:586.2210759168537;2298:590.5030187739966;2295:594.7849616311395;2293:599.7272473454252;4102:602.0865673454252;4325:607.3777273454252;7285:608.2946473454252;1218:609.4178473454252;2982:611.2980000000001
