sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,user_requests
0,0.0,0.0,0.0
60,0.0,0.0,0.0
120,0.0,0.0,0.0
180,0.0,0.0,0.08062
240,0.0,0.0,0.0
300,0.0,0.0,0.05124
360,0.0,0.0,0.09617
420,0.0,0.0,0.0
480,0.0,0.0,0.0
540,0.0,0.0,0.0
600,0.0,0.0,0.0
660,0.0,0.0,0.04913
720,0.0,0.0,0.0
780,0.0,0.0,0.0
840,0.0,0.0,0.07195
900,0.0,0.0,0.17174
960,0.0,0.0,0.13473
1020,0.0,0.0,0.0
1080,0.0,0.0,0.24335
1140,0.0,0.0,0.08578
1200,0.0,0.0,0.10804
1260,0.0,0.0,0.0
1320,0.0,0.0,0.10965
1380,0.0,0.0,0.0
1440,0.0,0.0,0.02908
1500,0.0,0.0,0.25861
1560,0.0,0.0,0.04425
1620,0.0,0.0,0.09462
1680,0.0,0.0,0.52459
1740,0.0,0.0,0.0
1800,0.0,0.018,0.0
1860,0.0,0.0,0.0
1920,0.0,0.0,0.0
1980,0.0,0.0,0.0
2040,0.0,0.0,0.08606
2100,0.0,0.0,0.06209
2160,0.0,0.0,0.03196
2220,0.0,0.0,0.0
2280,0.0,0.0,0.02442
2340,0.0,0.0,0.05872
2400,0.0,0.0,0.02209
2460,0.0,0.0,0.0545
2520,0.0,0.0,0.06657
2580,0.0,0.0,0.06483
2640,0.0,0.0,0.0
2700,0.0,0.0,0.06267
2760,0.0,0.0,0.03871
2820,0.0,0.0,0.0
2880,0.0,0.0,0.15369
2940,0.0,0.0,0.04136
3000,0.0,0.0,0.01865
3060,0.0,0.0,0.13404
3120,0.0,0.0,0.0
3180,0.0,0.0,0.0
3240,0.0,0.0,0.0
3300,0.0,0.0,0.01086
3360,0.0,0.0,0.04232
3420,0.0,0.0,0.04932
3480,0.0,0.0,0.0
3540,0.0,0.0,0.0
3600,0.0,0.001,0.08854
3660,0.0,0.0,0.0
3720,0.0,0.0,0.03788
3780,0.0,0.0,0.0
3840,0.0,0.0,0.22098
3900,0.0,0.0,0.0
3960,0.0,0.0,0.0
4020,0.0,0.0,0.0
4080,0.0,0.0,0.0
4140,0.0,0.0,0.0
4200,0.0,0.0,0.0
4260,0.0,0.0,0.03084
4320,0.0,0.0,0.12746
4380,0.0,0.0,0.06932
4440,0.0,0.0,0.11287
4500,0.0,0.0,0.0
4560,0.0,0.0,0.06837
4620,0.0,0.0,0.11154
4680,0.0,0.0,0.04732
4740,0.0,0.0,0.0
4800,0.0,0.0,0.0
4860,0.0,0.0,0.0729
4920,0.0,0.0,0.07052
4980,0.0,0.0,0.06986999999999999
5040,0.0,0.0,0.0
5100,0.0,0.0,0.11506
5160,0.0,0.0,0.04235
5220,0.0,0.0,0.02057
5280,0.0,0.0,0.0
5340,0.0,0.0,0.0
5400,0.0,0.026,0.06767
5460,0.0,0.0,0.08861
5520,0.0,0.0,0.14826999999999999
5580,0.0,0.0,0.09369
5640,0.0,0.0,0.0
5700,0.0,0.0,0.13552999999999998
5760,0.0,0.0,0.04019
5820,0.0,0.0,0.0
5880,0.0,0.0,0.0
5940,0.0,0.0,0.0
6000,0.0,0.0,0.0
6060,0.0,0.0,0.00881
6120,0.0,0.0,0.0
6180,0.0,0.0,0.0
6240,0.0,0.0,0.04072
6300,0.0,0.0,0.0
6360,0.0,0.0,0.0
6420,0.0,0.0,0.0724
6480,0.0,0.0,0.0
6540,0.0,0.0,0.00813
6600,0.0,0.0,0.08618
6660,0.0,0.0,0.11109000000000001
6720,0.0,0.0,0.0
6780,0.0,0.0,0.0
6840,0.0,0.0,0.09523999999999999
6900,0.0,0.0,0.04196
6960,0.0,0.0,0.0
7020,0.0,0.0,0.0
7080,0.0,0.0,0.0
7140,0.0,0.0,0.04453
