sim_time,reservation_time_trigger,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.0021085739135742188,0,0,0,0,0,0,0.0,0.0025
60,0.0,0.0,0.0,0.0,0.00156402587890625,0,0,0,0,0,0,0.0,0.00278
120,0.0,0.0,0.0,0.0,0.00157928466796875,0,0,0,0,0,0,0.0,0.00265
180,0.0,0.0,0.0,0.0,0.002982616424560547,0,0,0,0,0,0,0.0001,0.0025
240,0.0,0.0,0.0,0.0,0.0015635490417480469,0,0,0,0,0,0,0.0,0.00261
300,0.0,0.035657644271850586,0.0,0.0015780925750732422,0.0015835762023925781,0,0,5,0,1,0,6e-05,0.03965
360,0.0,0.020265579223632812,0.0015566349029541016,0.012660026550292969,0.003131389617919922,4,4,9,0,2,0,9e-05,0.03895
420,0.0,0.0,0.0,0.0,0.003042936325073242,2,2,2,0,0,2,0.0,0.00373
480,0.0,0.0,0.0,0.0,0.0015714168548583984,1,1,1,0,0,1,0.0,0.00305
540,0.0,0.0,0.0,0.0,0.0031490325927734375,1,1,1,0,0,1,0.0,0.0031
600,0.0,0.0,0.0,0.0,0.001569509506225586,1,1,1,0,0,1,0.0,0.00324
660,0.0,0.00775456428527832,0.0,0.0015683174133300781,0.0015606880187988281,0,0,5,0,1,0,4e-05,0.0116
720,0.0,0.0,0.0,0.0,0.0031402111053466797,1,1,1,0,0,1,0.0,0.00329
780,0.0,0.0,0.0,0.0,0.0031588077545166016,1,1,1,0,0,1,0.0,0.00308
840,0.0,0.031010150909423828,0.0,0.0,0.003381967544555664,0,0,3,0,1,0,0.0001,0.03401
900,0.0,0.018919706344604492,0.0005447864532470703,0.11667966842651367,0.0031239986419677734,1,1,11,0,3,0,9e-05,0.14017
960,0.0,0.014216184616088867,0.0,0.03676581382751465,0.0032122135162353516,5,4,13,0,3,1,6e-05,0.05649
1020,0.0,0.0,0.0005056858062744141,0.0,0.0015141963958740234,3,3,3,0,1,3,0.0,0.00421
1080,0.0,0.06446146965026855,0.0,0.09373116493225098,0.0031893253326416016,1,5,9,0,2,4,0.0001,0.16295
1140,0.0,0.0,0.0,0.02326679229736328,0.0031440258026123047,8,8,8,0,2,3,4e-05,0.02895
1200,0.0,0.0,0.0,0.01856398582458496,0.0025229454040527344,8,7,7,0,2,2,5e-05,0.02307
1260,0.0,0.0,0.0,0.0,0.001617431640625,4,3,3,0,1,2,0.0,0.00384
1320,0.0,0.03422832489013672,0.00101470947265625,0.03395867347717285,0.0030548572540283203,2,4,7,0,1,3,5e-05,0.07279
1380,0.0,0.0,0.0,0.0,0.0032885074615478516,7,7,7,0,1,3,0.0,0.00451
1440,0.0,0.0,0.0,0.0,0.0015904903411865234,2,2,2,0,0,2,6e-05,0.00397
1500,0.0,0.06098484992980957,0.0,0.07706975936889648,0.003161907196044922,2,2,11,0,2,2,0.00013000000000000002,0.144
1560,0.0,0.0,0.0,0.0,0.0034723281860351562,5,5,5,0,1,2,4e-05,0.00457
1620,0.0,0.0,0.0,0.0,0.0031228065490722656,3,3,3,0,1,1,0.0001,0.00403
1680,0.0,0.07460355758666992,0.0,0.0030815601348876953,0.0031213760375976562,2,2,9,0,2,2,0.00014000000000000001,0.08291
1740,0.0,0.0,0.0,0.0,0.0019872188568115234,6,4,4,0,1,3,0.0,0.00408
1800,0.0,0.0,0.0,0.0,0.002542257308959961,3,3,3,0,1,2,0.0,0.00427
1860,0.0,0.0,0.0,0.0,0.0019266605377197266,2,2,2,0,1,1,0.0,0.00365
1920,0.0,0.0,0.0,0.0,0.003201007843017578,2,2,2,0,0,2,0.0,0.0036
1980,0.0,0.0,0.00030922889709472656,0.0,0.0010063648223876953,2,2,2,0,0,2,0.0,0.00363
2040,0.0,0.07923197746276855,0.0,0.012872934341430664,0.0048770904541015625,0,2,14,0,2,1,9e-05,0.09811
2100,0.0,0.039605140686035156,0.0,0.05038595199584961,0.003113269805908203,11,6,14,0,3,1,7e-05,0.09339
2160,0.0,0.0,0.0018777847290039062,0.0,0.002027273178100586,4,2,4,0,2,1,4e-05,0.00464
2220,0.0,0.0,0.0,0.0,0.0033538341522216797,2,2,2,0,0,3,0.0,0.00364
2280,0.0,0.03277182579040527,0.0,0.0015611648559570312,0.0033922195434570312,2,2,6,0,1,3,5e-05,0.03859
2340,0.0,0.03953075408935547,0.0010080337524414062,0.0025184154510498047,0.0025217533111572266,5,4,8,0,2,1,6e-05,0.04742
2400,0.0,0.012862682342529297,0.0,0.0033566951751708984,0.0015740394592285156,3,3,8,0,2,1,4e-05,0.01992
2460,0.0,0.0,0.0,0.0,0.003145456314086914,4,3,3,0,1,2,5e-05,0.00388
2520,0.0,0.040190696716308594,0.0,0.046555280685424805,0.003220081329345703,2,4,8,0,2,2,4e-05,0.09087
2580,0.0,0.040541887283325195,0.0,0.0343470573425293,0.003142118453979492,3,3,10,0,2,2,6e-05,0.07895
2640,0.0,0.0,0.0,0.0,0.0030832290649414062,7,3,5,0,2,1,0.0,0.00479
2700,0.0,0.0,0.0,0.0,0.001560211181640625,5,4,4,0,2,1,5e-05,0.00432
2760,0.0,0.0375363826751709,0.0,0.0016150474548339844,0.0015366077423095703,1,3,6,0,1,3,4e-05,0.04294
2820,0.0,0.0,0.0015769004821777344,0.0,0.00336456298828125,2,2,2,0,0,3,0.0,0.00515
2880,0.0,0.0388188362121582,0.0,0.0015630722045898438,0.0031707286834716797,1,1,4,0,1,2,0.0001,0.04547
2940,0.0,0.039749860763549805,0.0,0.014117717742919922,0.0031189918518066406,3,3,7,0,2,2,6e-05,0.05775
3000,0.0,0.018662214279174805,0.0015578269958496094,0.003072977066040039,0.0015649795532226562,5,5,10,0,3,1,4e-05,0.02728
3060,0.0,0.0,0.0015692710876464844,0.006598949432373047,0.003046751022338867,5,4,4,0,2,1,0.00014000000000000001,0.01298
3120,0.0,0.0,0.0,0.0005090236663818359,0.0025284290313720703,3,3,3,0,1,2,0.0,0.00421
3180,0.0,0.0,0.0,0.0,0.0030896663665771484,2,2,2,0,0,2,0.0,0.00352
3240,0.0,0.0,0.0,0.0,0.0015645027160644531,2,2,2,0,0,2,0.0,0.0034
3300,0.0,0.02797722816467285,0.0,0.020370960235595703,0.0015773773193359375,2,2,6,0,1,2,6e-05,0.05256
3360,0.0,0.02061605453491211,0.0,0.0031595230102539062,0.0031855106353759766,2,4,8,0,1,3,6e-05,0.0289
3420,0.0,0.0,0.0,0.0016357898712158203,0.0015387535095214844,1,1,1,0,0,2,6e-05,0.00342
3480,0.0,0.0,0.0,0.0,0.0030324459075927734,1,1,1,0,0,2,0.0,0.00334
3540,0.0,0.0,0.0,0.0,0.002543926239013672,1,1,1,0,0,2,0.0,0.00323
3600,0.0,0.03723430633544922,0.0,0.0016210079193115234,0.0015747547149658203,1,1,5,0,1,2,8e-05,0.04268
3660,0.0,0.0,0.0,0.00732731819152832,0.003260374069213867,5,3,3,0,1,1,0.0,0.01111
3720,0.0,0.0,0.0,0.0,0.0015685558319091797,3,2,2,0,1,1,6e-05,0.00368
3780,0.0,0.0,0.0,0.0,0.002579212188720703,1,1,1,0,1,0,0.0,0.00335
3840,0.0,0.08589339256286621,0.0,0.0030210018157958984,0.0015482902526855469,1,1,9,0,2,1,0.00015000000000000001,0.09285
3900,0.0,0.0,0.013302326202392578,0.0,0.0015292167663574219,9,7,7,0,2,1,0.0,0.01675
3960,0.0,0.0,0.011914730072021484,0.0,0.0025718212127685547,7,5,5,0,2,1,0.0,0.01667
4020,0.0,0.0,0.0,0.0,0.0015702247619628906,3,3,3,0,1,2,0.0,0.00397
4080,0.0,0.0,0.0,0.0,0.0030379295349121094,2,2,2,0,0,2,0.0,0.00363
4140,0.0,0.0,0.0,0.0,0.0016169548034667969,2,2,2,0,0,2,0.0,0.0034
4200,0.0,0.0,0.0,0.0,0.0015130043029785156,1,1,1,0,0,1,0.0,0.00336
4260,0.0,0.0,0.0,0.0,0.002550363540649414,1,1,1,0,0,1,4e-05,0.00319
4320,0.0,0.03820514678955078,0.0,0.01726055145263672,0.0015554428100585938,0,2,5,0,1,1,8e-05,0.05944
4380,0.0,0.028028488159179688,0.0,0.00789785385131836,0.002114534378051758,1,1,4,0,1,2,6e-05,0.03946
4440,0.0,0.06687617301940918,0.0,0.012412309646606445,0.003122091293334961,2,2,9,0,2,2,8e-05,0.08465
4500,0.0,0.0,0.022022724151611328,0.0016262531280517578,0.0037317276000976562,9,8,8,0,2,2,0.0,0.0277
4560,0.0,0.0,0.0015690326690673828,0.0,0.002112150192260742,5,5,5,0,1,3,4e-05,0.00447
4620,0.0,0.035898447036743164,0.0015571117401123047,0.020313501358032227,0.003172159194946289,3,3,6,0,1,3,8e-05,0.06285
4680,0.0,0.0,0.0,0.0,0.003141641616821289,4,4,4,0,0,4,6e-05,0.005
4740,0.0,0.0,0.0,0.0,0.0031228065490722656,4,4,4,0,0,4,0.0,0.00399
4800,0.0,0.0,0.0005242824554443359,0.0,0.0015316009521484375,4,4,4,0,0,4,0.0,0.00392
4860,0.0,0.03147768974304199,0.0,0.0015530586242675781,0.003160715103149414,1,1,5,0,1,1,4e-05,0.0369
4920,0.0,0.05956625938415527,0.0,0.003549337387084961,0.002666950225830078,1,1,9,0,2,1,0.0001,0.06802
4980,0.0,0.027192354202270508,0.0,0.017711162567138672,0.0036649703979492188,3,3,5,0,1,3,8e-05,0.04945
5040,0.0,0.0,0.001603841781616211,0.0,0.0015633106231689453,4,4,4,0,0,4,0.0,0.00398
5100,0.0,0.0,0.0,0.0,0.0015728473663330078,3,3,3,0,0,3,6e-05,0.00373
5160,0.0,0.01857447624206543,0.0,0.0018014907836914062,0.0031938552856445312,3,3,8,0,1,3,4e-05,0.02433
5220,0.0,0.02898120880126953,0.0,0.002015829086303711,0.0035097599029541016,3,3,7,0,1,3,5e-05,0.03525
5280,0.0,0.0,0.0,0.0,0.0032286643981933594,3,3,3,0,0,3,0.0,0.0039
5340,0.0,0.0,0.0,0.0017528533935546875,0.0015308856964111328,2,2,2,0,0,2,0.0,0.00362
5400,0.0,0.0365595817565918,0.0,0.0,0.003171682357788086,2,2,6,0,1,2,8e-05,0.04118
5460,0.0,0.0322723388671875,0.0,0.0,0.0031485557556152344,2,4,6,0,1,3,0.00013000000000000002,0.03658
5520,0.0,0.09037041664123535,0.0,0.056107521057128906,0.0019683837890625,1,5,13,0,3,3,0.00017,0.15348
5580,0.0,0.09897470474243164,0.03543281555175781,0.1109168529510498,0.0031762123107910156,8,8,25,0,6,2,0.00014000000000000001,0.25064
5640,0.0,0.0,0.03284764289855957,0.0,0.003154754638671875,13,11,11,0,4,4,0.0,0.03873
5700,0.0,0.03297924995422363,0.0015802383422851562,0.03284859657287598,0.0032024383544921875,5,7,11,0,4,3,8e-05,0.07171
5760,0.0,0.0,0.017587900161743164,0.0,0.0026051998138427734,10,9,9,0,3,4,4e-05,0.0225
5820,0.0,0.0,0.0,0.0015234947204589844,0.003088235855102539,5,5,5,0,0,5,0.0,0.00581
5880,0.0,0.0,0.0,0.0,0.0031986236572265625,4,4,4,0,0,4,0.0,0.00418
