operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,1,default_vehtype,route,False,4950.0,5294.710441981238,2980;-1;-1,2972;-1;-1,2999.8842262698054,0.8570211689536968,0.8567211805310697,0.0,,0,65,1,,,2980;914;2135;1730;2664;2579;2961;2407;2581;370;361;2874;1887;4059;910;6541;3462;3648;2851;2850;1801;1560;5242;4277;5239;6501;3911;5389;7301;3914;5398;5400;4040;4041;5374;5418;5424;5403;6546;1200;7312;3767;4527;3089;3131;5447;7352;414;122;3426;4305;793;118;3979;4275;103;6480;7360;3154;6028;5745;6035;5743;6038;6041;7365;6050;6068;6077;3629;4502;6912;2108;7370;7608;5900;3459;4818;5992;6047;5708;3884;3030;3347;7376;2207;3446;3720;5332;251;2711;3358;2296;5681;2294;2035;6308;374;7114;3246;5330;661;445;2972,2980:4950;914:4965.882170735657;2135:4973.833027878514;1730:4989.289370735657;2664:4991.111485021372;2579:4995.987427878515;2961:5012.758285021372;2407:5018.007085021372;2581:5026.494342164229;370:5028.077190164229;361:5030.574294164229;2874:5031.1603021642295;1887:5036.815686164229;4059:5038.734990164229;910:5043.251190164229;6541:5043.91531816423;3462:5046.1289581642295;3648:5046.458718164229;2851:5051.132958164229;2850:5052.066318164229;1801:5055.36199816423;1560:5060.10247816423;5242:5061.78511816423;4277:5063.37319816423;5239:5068.8778381642305;6501:5074.8403981642305;3911:5084.19523816423;5389:5085.261078164231;7301:5085.514998164231;3914:5086.698678164231;5398:5087.875518164231;5400:5089.202118164231;4040:5098.506918164231;4041:5101.451238164231;5374:5105.703798164231;5418:5106.74107816423;5424:5106.88435816423;5403:5107.98967816423;6546:5112.21655816423;1200:5116.82563816423;7312:5118.319398164231;3767:5120.325798164231;4527:5123.122638164231;3089:5131.532238164231;3131:5132.012478164231;5447:5134.400118164231;7352:5135.71147816423;414:5138.18119816423;122:5150.535558164231;3426:5151.789078164231;4305:5153.191398164231;793:5165.306958164231;118:5171.171238164231;3979:5173.021782164231;4275:5173.613118164231;103:5174.7560461642315;6480:5188.077774164231;7360:5193.579654164231;3154:5194.671462164231;6028:5195.632590164231;5745:5197.1242141642315;6035:5199.047622164231;5743:5200.4170621642315;6038:5202.432486164232;6041:5203.708758164232;7365:5210.371926164232;6050:5212.6454701642315;6068:5216.871798164231;6077:5217.517494164231;3629:5219.074782164231;4502:5219.537670164231;6912:5224.686102164231;2108:5226.58251016423;7370:5233.10923816423;7608:5233.33863016423;5900:5236.81032616423;3459:5237.56589416423;4818:5238.18077416423;5992:5238.65755816423;6047:5242.84608616423;5708:5244.24036616423;3884:5246.77995016423;3030:5247.277974164231;3347:5249.3021821642305;7376:5249.737566164231;2207:5250.146454164231;3446:5252.969862164231;3720:5255.999550164231;5332:5256.99099016423;251:5257.73856616423;2711:5258.876382164231;3358:5261.091390164231;2296:5269.392390164231;5681:5271.786390164231;2294:5273.117875878517;2035:5274.449361592803;6308:5276.843361592803;374:5285.144361592804;7114:5287.359369592804;3246:5288.497185592804;5330:5289.244761592804;661:5290.236201592804;445:5293.265889592803;2972:5294.710441981238
0,1,default_vehtype,boarding,True,5294.710441981238,5324.710441981238,2972;-1;-1,2972;-1;-1,0.0,0.8567211805310697,0.8567211805310697,0.0,,0,65,1,,65,,
0,4,default_vehtype,boarding,True,5264.908890042598,5294.908890042598,2985;-1;-1,2985;-1;-1,0.0,0.8202313879269016,0.8202313879269016,0.0,,0,71,1,71,,,
0,2,default_vehtype,route,False,5238.599849802757,5438.900066593619,2989;-1;-1,2977;-1;-1,2168.724873257181,0.5418910269670225,0.5416741544796968,0.0,,0,70,1,,,2989;3808;6876;885;316;2042;1982;6306;374;7114;3246;5330;661;445;6080;7381;364;3029;3886;5711;6045;2157;4817;456;5901;7605;2830;5852;6913;1321;597;2204;6066;6049;7367;2188;2186;5744;6033;5746;6031;146;2828;2376;3091;4274;880;3109;3874;4306;429;4313;68;7318;7325;3011;4;4345;7330;7562;7316;7531;2802;2977,2989:5238.599849802757;3808:5239.26036669673;6876:5240.32836669673;885:5240.93172669673;316:5247.75888669673;2042:5258.49732669673;1982:5259.26004669673;6306:5259.47688669673;374:5267.77788669673;7114:5269.99289469673;3246:5271.130710696731;5330:5271.87828669673;661:5272.86972669673;445:5275.89941469673;6080:5278.72282269673;7381:5279.13171069673;364:5279.56709469673;3029:5281.59130269673;3886:5282.0893266967305;5711:5284.628910696731;6045:5286.023190696731;2157:5290.211718696731;4817:5290.688502696731;456:5291.303382696731;5901:5292.058950696731;7605:5295.53064669673;2830:5295.760038696731;5852:5302.28676669673;6913:5304.18317469673;1321:5309.33160669673;597:5309.79449469673;2204:5311.35178269673;6066:5311.99747869673;6049:5316.223806696729;7367:5318.497350696729;2188:5325.160518696729;2186:5326.436790696729;5744:5328.452214696729;6033:5329.82165469673;5746:5331.745062696729;6031:5333.2366866967295;146:5334.197814696729;2828:5335.28962269673;2376:5340.791502696729;3091:5354.113230696729;4274:5355.2561586967295;880:5355.84749469673;3109:5357.69803869673;3874:5363.56231869673;4306:5375.67787869673;429:5377.08019869673;4313:5378.26315869673;68:5383.86151869673;7318:5390.5295586967295;7325:5393.856318696729;3011:5397.86695869673;4:5402.652078696729;4345:5404.69555869673;7330:5405.89855869673;7562:5413.73239869673;7316:5421.127398696731;7531:5428.682358696731;2802:5435.897838696731;2977:5438.900066593619
0,3,default_vehtype,route,False,5400.0,5405.864769547126,2993;-1;-1,2967;-1;-1,81.45513259898192,0.7628749737924784,0.7628668282792185,0.0,,0,,0,,,2993;4483;7446;1960;2967,2993:5400;4483:5400.761419981901;7446:5403.428155981901;1960:5404.412395981901;2967:5405.864769547126
0,3,default_vehtype,boarding,True,5405.864769547126,5435.864769547126,2967;-1;-1,2967;-1;-1,0.0,0.7628668282792185,0.7628668282792185,0.0,,0,72,1,72,,,
0,2,default_vehtype,boarding,True,5438.900066593619,5468.900066593619,2977;-1;-1,2977;-1;-1,0.0,0.5416741544796968,0.5416741544796968,0.0,,0,70,1,,70,,
0,2,default_vehtype,route,False,5468.900066593619,5515.226698019299,2977;-1;-1,2984;-1;-1,386.0552618806575,0.5416741544796968,0.5416355489535087,0.0,,0,,0,,,2977;6202;7315;7530;2803;7558;2806;4344;2996;2984,2977:5468.900066593619;6202:5472.793158696731;7315:5479.68847869673;7530:5486.90395869673;2803:5494.4589186967305;7558:5501.853918696731;2806:5509.687758696731;4344:5510.890758696732;2996:5512.934238696732;2984:5515.226698019299
0,2,default_vehtype,boarding,True,5515.226698019299,5545.226698019299,2984;-1;-1,2984;-1;-1,0.0,0.5416355489535087,0.5416355489535087,0.0,,0,75,1,75,,,
0,4,default_vehtype,route,False,5294.908890042598,5546.79121024266,2985;-1;-1,2967;-1;-1,2621.8042250008402,0.8202313879269016,0.8199692075044015,0.0,,0,71,1,,,2985;1140;880;3109;3874;4306;429;3125;3406;2825;1944;130;99;4526;714;2800;4332;799;3653;3825;7127;1836;4248;5046;7138;6879;1367;3637;1339;1395;1399;835;1147;2412;836;1097;738;2470;734;1815;739;1724;1962;1910;164;1354;197;1311;7;1963;1308;482;7613;2611;1307;2876;1960;2967,2985:5294.908890042598;1140:5295.103460677433;880:5295.694796677433;3109:5297.545340677433;3874:5303.409620677433;4306:5315.525180677433;429:5316.927500677433;3125:5318.1810206774335;3406:5330.535380677434;2825:5333.005100677434;1944:5334.3164606774335;130:5336.704100677433;99:5337.184340677433;4526:5345.593940677433;714:5348.390780677433;2800:5350.397180677433;4332:5351.212820677433;799:5352.393740677433;3653:5356.989980677433;3825:5358.238580677433;7127:5401.798700677433;1836:5403.149660677433;4248:5417.694860677432;5046:5434.035380677432;7138:5435.673980677432;6879:5441.940380677433;1367:5453.433260677432;3637:5455.326380677432;1339:5456.318756677432;1395:5464.856084677433;1399:5466.996788677433;835:5470.573748677433;1147:5471.366324677433;2412:5472.174380677433;836:5473.173164677433;1097:5488.433924677433;738:5489.136572677434;2470:5490.086252677434;734:5490.295124677434;1815:5491.303340677434;739:5492.143868677434;1724:5508.601556677434;1962:5509.658372677434;1910:5510.480612677435;164:5511.431804677435;1354:5512.388324677435;197:5514.597572677435;1311:5526.1323326774345;7:5529.827300677434;1963:5530.235756677434;1308:5530.596980677435;482:5535.151628677435;7613:5536.475780677435;2611:5540.372132677435;1307:5541.687860677434;2876:5544.3545966774345;1960:5545.338836677434;2967:5546.79121024266
