sim_time,reservation_time_trigger,dyn_fleetsizing_strategy,user_requests
0,0.0,0.0,0.0
60,0.0,0.0,0.0
120,0.0,0.0,0.0
180,0.0,0.0,0.0
240,0.0,0.0,0.0
300,0.0,0.0,0.0
360,0.0,0.0,0.01115
