,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.5591825376293018,2980,23937.41006501055
1,0,1,0.8351585417917138,2980,42903.920381882686
2,0,2,0.9627188555138173,2980,14164.056720113716
3,0,3,0.7069501754095149,2980,34517.02916190731
4,0,4,0.6816740636234911,2980,33494.35145066975
5,0,5,0.8434293757251121,2966,12678.847491298658
6,0,6,0.9226152818372033,2980,16017.233235906971
7,0,7,0.5641987138645684,2980,46211.985317838546
8,0,8,0.915027971885,2980,7324.056720113864
9,0,9,0.8461007855593514,2966,32419.933054389083
10,0,10,0.999999999999994,2980,7200.0
11,0,11,0.8994669260694435,2966,34266.72362767687
12,0,12,0.8394702553792146,2980,18072.713870898697
13,0,13,0.58039032397964,2980,46800.11537888156
14,0,14,0.9347543293107337,2980,56671.2161850889
15,0,15,0.9645206597818511,2980,21421.693576094352
16,0,16,0.5509100493350957,2966,15857.315435555767
17,0,17,0.8901521444791805,2980,21361.06153251088
18,0,18,0.8579855140994925,2980,17952.713870898704
19,0,19,0.6264854082525251,2980,33312.20795111564
20,0,20,0.9671336277007783,2971,7579.898644077266
21,0,21,0.8335238681340207,2980,42276.55815305504
22,0,22,0.9121315402210232,2980,16268.843034695296
23,0,23,0.8197824227039717,2980,17298.323696343752
24,0,24,0.5914143591557383,2980,33097.865001620405
25,0,25,0.5689310826569409,2980,26700.57216968232
26,0,26,0.9998309699952556,2980,14224.056720113716
27,0,27,0.5099263340874909,2980,14998.804187782102
28,0,28,0.5549812076518829,2980,22631.756934760826
29,0,29,0.8868733201734865,2980,56584.8979710923
30,0,30,0.8625152195536965,2980,74619.63473071158
31,0,31,0.6840981503676238,2980,55696.09909702483
32,0,32,0.9964896570067456,2971,7475.335721549392
33,0,33,0.5020838996653938,2980,43746.11268899428
34,0,34,0.5482610171846696,2980,45743.16238352437
35,0,35,0.784104530770277,2980,16208.843034695297
36,0,36,0.7723141524921925,2980,15957.233235906973
37,0,37,0.7342132447849324,2966,24947.44218150619
38,0,38,0.8083019283827528,2980,41134.17392370596
39,0,39,0.9457740567269927,2980,21390.33429620865
40,0,40,0.5477853655161018,2980,45674.92764251989
41,0,41,0.8407687786412219,2966,30509.158398083746
42,0,42,0.8227942736897742,2980,41550.224952078956
43,0,43,0.8023104038336046,2966,28136.883244087003
44,0,44,0.5299519287775074,2980,22213.197741329925
45,0,45,0.6915793885023691,2966,21246.394843534617
46,0,46,0.5194033562428346,2980,21563.545551448435
47,0,47,0.7183380623717271,2980,37046.22618591574
48,0,48,0.7641578391645912,2980,56528.078870133446
49,0,49,0.5568368477629625,2980,53039.97237379849
