sim_time,reservation_time_trigger,user_requests
0,0.0,0.0
60,0.0,0.0
120,0.0,0.0
180,0.0,0.06076
240,0.0,0.0
300,0.0,0.0729
360,0.0,0.058690000000000006
420,0.0,0.0
480,0.0,0.0
540,0.0,0.0
600,0.0,0.0
660,0.0,0.01064
720,0.0,0.0
780,0.0,0.0
840,0.0,0.01577
900,0.0,0.050629999999999994
960,0.0,0.03086
1020,0.0,0.0
1080,0.0,0.0759
1140,0.0,0.00094
1200,0.0,0.01971
1260,0.0,0.0
1320,0.0,0.00276
1380,0.0,0.0
1440,0.0,0.01588
1500,0.0,0.07845999999999999
1560,0.0,0.00531
1620,0.0,0.01956
1680,0.0,0.09769
1740,0.0,0.0
1800,0.0,0.0
1860,0.0,0.0
1920,0.0,0.0
1980,0.0,0.0
2040,0.0,0.0992
2100,0.0,0.0106
2160,0.0,0.01932
2220,0.0,0.0
2280,0.0,0.00229
2340,0.0,0.01505
2400,0.0,0.0171
2460,0.0,0.01933
2520,0.0,0.03532
2580,0.0,0.00878
2640,0.0,0.0
2700,0.0,0.01028
2760,0.0,0.01347
2820,0.0,0.0
2880,0.0,0.06346
2940,0.0,0.02858
3000,0.0,0.02436
3060,0.0,0.11684
3120,0.0,0.0
3180,0.0,0.0
3240,0.0,0.0
3300,0.0,0.05262
3360,0.0,0.02431
3420,0.0,0.01632
3480,0.0,0.0
3540,0.0,0.0
3600,0.0,0.06902
3660,0.0,0.0
3720,0.0,0.00779
3780,0.0,0.0
3840,0.0,0.012150000000000001
3900,0.0,0.0
3960,0.0,0.0
4020,0.0,0.0
4080,0.0,0.0
4140,0.0,0.0
4200,0.0,0.0
4260,0.0,0.02692
4320,0.0,0.04208
4380,0.0,0.01044
4440,0.0,0.0193
4500,0.0,0.0
4560,0.0,0.05085
4620,0.0,0.08421000000000001
4680,0.0,0.03242
4740,0.0,0.0
4800,0.0,0.0
4860,0.0,0.04688
4920,0.0,0.01812
4980,0.0,0.07178999999999999
5040,0.0,0.0
5100,0.0,0.03252
5160,0.0,0.03392
5220,0.0,0.03279
5280,0.0,0.0
5340,0.0,0.0
5400,0.0,0.07025
5460,0.0,0.05708
5520,0.0,0.00511
5580,0.0,0.17757
5640,0.0,0.0
5700,0.0,0.12045
5760,0.0,0.04795
5820,0.0,0.0
5880,0.0,0.0
5940,0.0,0.0
6000,0.0,0.0
6060,0.0,0.01299
6120,0.0,0.0
6180,0.0,0.0
6240,0.0,0.00099
6300,0.0,0.0
6360,0.0,0.0
6420,0.0,0.01941
6480,0.0,0.0
6540,0.0,0.0181
6600,0.0,0.02132
6660,0.0,0.06426
6720,0.0,0.0
6780,0.0,0.0
6840,0.0,0.02785
6900,0.0,0.10602
6960,0.0,0.0
7020,0.0,0.0
7080,0.0,0.0
7140,0.0,0.00304
