sim_time,reservation_time_trigger,charging_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
2700,0.0,0.0,0.03285098075866699,0.0,0.014571189880371094,0.0018093585968017578,1,1,8,0,3,1,0.06226,0.0515
2760,0.0,0.0,0.024197816848754883,0.0,0.020680665969848633,0.0032684803009033203,1,1,17,0,4,1,0.03812,0.04985
2820,0.0,0.0,0.0,0.0045468807220458984,0.0,0.002968311309814453,17,16,16,0,4,1,0.0,0.0094
2880,0.0,0.0,0.021587610244750977,0.0015909671783447266,0.0032029151916503906,0.003387451171875,16,16,20,0,5,1,0.11041999999999999,0.03061
2940,0.0,0.045,0.027330875396728516,0.021667957305908203,0.04626917839050293,0.002215862274169922,19,5,10,0,6,1,0.02914,0.09922
3000,0.0,0.0,0.0,0.021227598190307617,0.011093378067016602,0.0032014846801757812,7,4,8,0,5,2,0.02999,0.03791
3060,0.0,0.0,0.0,0.014137744903564453,0.0,0.0031659603118896484,8,3,7,0,5,1,0.14196,0.01979
3120,0.0,0.0,0.0,0.002023458480834961,0.0019428730010986328,0.001971721649169922,7,3,7,0,5,1,0.0,0.00923
3180,0.0,0.0,0.0,0.0,0.0,0.0031633377075195312,3,4,6,0,3,3,0.0,0.00582
3240,0.0,0.0,0.0,0.0,0.007069110870361328,0.0019702911376953125,3,4,4,0,2,3,0.0,0.01293
3300,0.0,0.0,0.024993419647216797,0.0,0.03029942512512207,0.0034961700439453125,3,3,7,0,3,3,0.04599,0.061
3360,0.0,0.119,0.02741694450378418,0.0,0.03423261642456055,0.003666400909423828,3,5,5,0,2,4,0.02977,0.06714
3420,0.0,0.0,0.03309369087219238,0.0005087852478027344,0.03821516036987305,0.001583099365234375,1,3,4,0,1,5,0.03282,0.07662
3480,0.0,0.0,0.0,0.0,0.0,0.0032193660736083984,4,4,4,0,1,5,0.0,0.00553
3540,0.0,0.0,0.0,0.0,0.0,0.0031931400299072266,3,3,3,0,1,4,0.0,0.00528
3600,0.0,0.0,0.036092519760131836,0.0,0.08904623985290527,0.003247976303100586,3,3,5,0,2,3,0.13394,0.13048
3660,0.0,0.0,0.0,0.0,0.0,0.003178119659423828,5,5,5,0,2,2,0.0,0.00572
3720,0.0,0.0,0.038240671157836914,0.0,0.0226137638092041,0.0015778541564941406,3,3,8,0,3,2,0.07954,0.06447
3780,0.0,0.0,0.0,0.017117738723754883,0.0,0.003217458724975586,8,7,7,0,3,2,0.0,0.02324
3840,0.0,0.043,0.0,0.018746376037597656,0.0,0.001577138900756836,6,4,6,0,3,1,0.13604,0.02257
3900,0.0,0.0,0.0,0.0,0.0,0.0032269954681396484,2,3,3,0,0,4,0.0,0.00598
3960,0.0,0.0,0.0,0.0,0.0,0.002634286880493164,3,3,3,0,0,4,0.0,0.00491
4020,0.0,0.0,0.0,0.0,0.0,0.0031936168670654297,3,3,3,0,0,4,0.0,0.00468
4080,0.0,0.0,0.0,0.0,0.0,0.0032875537872314453,3,3,3,0,0,4,0.0,0.00527
4140,0.0,0.0,0.0,0.0,0.0015652179718017578,0.0016109943389892578,3,3,3,0,0,4,0.0,0.00456
4200,0.0,0.0,0.0,0.0,0.0,0.0015659332275390625,2,2,2,0,0,3,0.0,0.00415
4260,0.0,0.05,0.028513669967651367,0.0,0.02279973030090332,0.0015742778778076172,1,1,2,0,1,2,0.029,0.05388
4320,0.0,0.0,0.0,0.0,0.0,0.0030002593994140625,1,2,2,0,0,2,0.05721,0.00451
4380,0.0,0.0,0.0,0.0,0.0,0.0032041072845458984,2,2,2,0,0,2,0.02722,0.00401
4440,0.0,0.0,0.0,0.0,0.0,0.003557920455932617,2,2,2,0,0,2,0.06133,0.00403
4500,0.0,0.0,0.0,0.0,0.0,0.003782987594604492,2,2,2,0,0,2,0.0,0.00402
4560,0.0,0.0,0.0,0.0019292831420898438,0.0,0.0015840530395507812,2,2,2,0,0,2,0.03798,0.0039
4620,0.0,0.0,0.021954774856567383,0.0,0.017408132553100586,0.003252744674682617,1,1,3,0,1,1,0.04309,0.0439
4680,0.0,0.0,0.0,0.0,0.0,0.0030946731567382812,3,3,3,0,1,1,0.05388,0.00462
4740,0.0,0.062,0.0,0.0,0.0,0.003393888473510742,2,2,2,0,1,0,0.0,0.00398
4800,0.0,0.0,0.0,0.0,0.0010156631469726562,0.002035379409790039,0,1,1,0,0,1,0.0,0.00385
4860,0.0,0.0,0.015299797058105469,0.0,0.020866870880126953,0.002042531967163086,1,1,2,0,1,1,0.01581,0.03899
4920,0.0,0.0,0.0,0.0,0.0015726089477539062,0.0015778541564941406,2,2,2,0,1,1,0.10630999999999999,0.00413
4980,0.0,0.0,0.0,0.0,0.0,0.002558469772338867,2,2,2,0,1,1,0.08646000000000001,0.00387
5040,0.0,0.0,0.0,0.0,0.0,0.0015323162078857422,2,2,2,0,0,2,0.0,0.00378
5100,0.0,0.0,0.02165055274963379,0.0015687942504882812,0.012365102767944336,0.0030732154846191406,0,2,2,0,1,1,0.02409,0.04047
5160,0.0,0.0,0.0,0.0,0.0,0.001584768295288086,2,2,2,0,1,1,0.08766,0.00457
5220,0.0,0.0,0.0,0.0,0.0,0.0031905174255371094,1,1,1,0,1,0,0.0628,0.0035
5280,0.0,0.0,0.0,0.0,0.0,0.0020499229431152344,1,1,1,0,0,1,0.0,0.00365
5340,0.0,0.0,0.0,0.0,0.0,0.002053499221801758,1,1,1,0,0,1,0.0,0.00361
5400,0.0,0.052,0.0471806526184082,0.0,0.045022010803222656,0.0025522708892822266,0,2,3,0,2,1,0.06305,0.09635
5460,0.0,0.0,0.02839374542236328,0.0,0.019451379776000977,0.00157928466796875,0,1,4,0,2,2,0.08796000000000001,0.05174
5520,0.0,0.0,0.0,0.0,0.0,0.0031392574310302734,4,4,4,0,2,1,0.13240000000000002,0.00514
5580,0.0,0.0,0.025310277938842773,0.0,0.015400886535644531,0.0031118392944335938,4,4,6,0,3,1,0.15459,0.04496
5640,0.0,0.044,0.0,0.011788606643676758,0.0,0.0029964447021484375,4,4,4,0,2,2,0.0,0.01671
5700,0.0,0.0,0.0,0.0,0.001589059829711914,0.0014657974243164062,2,3,3,0,1,3,0.06775,0.00525
5760,0.0,0.0,0.021359920501708984,0.0015597343444824219,0.01193547248840332,0.0031523704528808594,2,4,4,0,1,4,0.02281,0.03952
5820,0.0,0.0,0.0,0.0036211013793945312,0.0,0.0016019344329833984,4,4,4,0,1,4,0.0,0.00832
5880,0.0,0.0,0.0,0.0,0.0016167163848876953,0.0015859603881835938,3,3,3,0,1,3,0.0,0.00566
5940,0.0,0.0,0.0,0.0,0.0,0.0016100406646728516,2,2,2,0,0,3,0.0,0.00409
6000,0.0,0.0,0.0,0.0,0.0,0.001863718032836914,1,1,1,0,0,2,0.0,0.00359
