sim_time,reservation_time_trigger,user_requests
0,0.0,0.0
60,0.0,0.0
120,0.0,0.0
180,0.0,0.0619
240,0.0,0.0
300,0.0,0.07074
360,0.0,0.05728
420,0.0,0.0
480,0.0,0.0
540,0.0,0.0
600,0.0,0.0
660,0.0,0.01091
720,0.0,0.0
780,0.0,0.0
840,0.0,0.01564
900,0.0,0.05591
960,0.0,0.04482
1020,0.0,0.0
1080,0.0,0.08485000000000001
1140,0.0,0.00482
1200,0.0,0.023
1260,0.0,0.0
1320,0.0,0.01481
1380,0.0,0.0
1440,0.0,0.0552
1500,0.0,0.09305000000000001
1560,0.0,0.00379
1620,0.0,0.02429
1680,0.0,0.12760000000000002
1740,0.0,0.0
1800,0.0,0.0
1860,0.0,0.0
1920,0.0,0.0
1980,0.0,0.0
2040,0.0,0.12933
2100,0.0,0.01495
2160,0.0,0.02103
2220,0.0,0.0
2280,0.0,0.00351
2340,0.0,0.01957
2400,0.0,0.02162
2460,0.0,0.02129
2520,0.0,0.03119
2580,0.0,0.01973
2640,0.0,0.0
2700,0.0,0.04234
2760,0.0,0.01114
2820,0.0,0.0
2880,0.0,0.07685
2940,0.0,0.03295
3000,0.0,0.02489
3060,0.0,0.14102
3120,0.0,0.0
3180,0.0,0.0
3240,0.0,0.0
3300,0.0,0.0497
3360,0.0,0.04817
3420,0.0,0.0688
3480,0.0,0.0
3540,0.0,0.0
3600,0.0,0.06969
3660,0.0,0.0
3720,0.0,0.02666
3780,0.0,0.0
3840,0.0,0.07234
3900,0.0,0.0
3960,0.0,0.0
4020,0.0,0.0
4080,0.0,0.0
4140,0.0,0.0
4200,0.0,0.0
4260,0.0,0.03757
4320,0.0,0.0409
4380,0.0,0.01537
4440,0.0,0.02323
4500,0.0,0.0
4560,0.0,0.05584
4620,0.0,0.03351
4680,0.0,0.04559
4740,0.0,0.0
4800,0.0,0.0
4860,0.0,0.03819
4920,0.0,0.05876
4980,0.0,0.086
5040,0.0,0.0
5100,0.0,0.03121
5160,0.0,0.05621
5220,0.0,0.01803
5280,0.0,0.0
5340,0.0,0.0
5400,0.0,0.09453
5460,0.0,0.03619
5520,0.0,0.09302
5580,0.0,0.17874
5640,0.0,0.0
5700,0.0,0.11203
5760,0.0,0.07195
5820,0.0,0.0
5880,0.0,0.0
5940,0.0,0.0
6000,0.0,0.0
6060,0.0,0.02793
6120,0.0,0.0
6180,0.0,0.0
6240,0.0,0.00593
6300,0.0,0.0
6360,0.0,0.0
6420,0.0,0.01914
6480,0.0,0.0
6540,0.0,0.01033
6600,0.0,0.016710000000000003
6660,0.0,0.05258
6720,0.0,0.0
6780,0.0,0.0
6840,0.0,0.050129999999999994
6900,0.0,0.05216
6960,0.0,0.0
7020,0.0,0.0
7080,0.0,0.0
7140,0.0,0.00384
