request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
88,BasicRequest,1,6240,6240,2974;-1;-1,2982;-1;-1,,,,,144.42734698804207,1300.2674156418354,0:t_wait:50.704534696240444;t_drive:174.4273469880418;fare:130;vid:2,,,0,2,6290.704534696241,6465.131881684285,130,0
90,BasicRequest,1,6540,6540,2982;-1;-1,2983;-1;-1,,,,,47.50530195645062,395.8775163037552,0:t_wait:0;t_drive:77.50530195645024;fare:100;vid:2,,,0,2,6540,6617.505301956449,100,0
89,BasicRequest,1,6420,6420,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:34.4039244469559;t_drive:228.06309279928792;fare:237;vid:0,,,0,0,6454.403924446956,6682.467017246246,237,0
97,BasicRequest,1,6900,6900,2983;-1;-1,2971;-1;-1,,,,,242.39334212081602,2519.500917673467,0:,,,,,,,,0
94,BasicRequest,1,6660,6660,2968;-1;-1,2991;-1;-1,,,,,33.2441435462937,461.72421592074585,0:t_wait:259.7740656873084;t_drive:63.244143546293344;fare:100;vid:4,,,0,3,6869.759346377224,6933.003489923517,100,0
92,BasicRequest,1,6600,6600,2973;-1;-1,2992;-1;-1,,,,,210.01846377571817,2451.7304413294187,0:t_wait:200.9820240347608;t_drive:240.01846377571837;fare:245;vid:2,,,0,1,6753.950484810419,6993.968948586134,245,0
91,BasicRequest,1,6600,6600,2973;-1;-1,2982;-1;-1,,,,,189.2132879652384,1922.294373658451,0:t_wait:153.95048481041977;t_drive:219.21328796523812;fare:192;vid:1,,,0,2,6800.98202403476,7020.195312,192,0
95,BasicRequest,1,6840,6840,2985;-1;-1,2987;-1;-1,,,,,62.67184160512741,870.4422445156586,0:t_wait:223.41854752939435;t_drive:92.67184160512716;fare:100;vid:0,,,0,0,7063.418547529396,7156.090389134524,100,0
96,BasicRequest,1,6840,6840,2991;-1;-1,2983;-1;-1,,,,,292.24421954165257,3171.840523572809,0:t_wait:93.00348992351792;t_drive:322.24421954165246;fare:317;vid:3,,,0,3,6933.003489923517,7255.247709465168,317,0
93,BasicRequest,1,6660,6660,2966;-1;-1,2974;-1;-1,,,,,285.4550339569323,2330.1594114887325,0:t_wait:229.9869602780309;t_drive:315.4550339569323;fare:233;vid:3,,,0,4,6940.0016795881165,7255.45671354505,233,0
99,BasicRequest,1,7140,7140,2988;-1;-1,2971;-1;-1,,,,,86.6229651748205,775.530490028943,0:t_wait:77.71286172125292;t_drive:116.62296517482082;fare:100;vid:0,,,0,0,7217.712861721254,7334.335826896071,100,0
98,BasicRequest,1,6900,6900,2976;-1;-1,2972;-1;-1,,,,,184.56391718766565,2043.130505705973,0:t_wait:238.24153168905013;t_drive:214.56391718766554;fare:204;vid:2,,,0,2,7138.24153168905,7352.8054488767175,204,0
