sim_time,reservation_time_trigger,user_requests
0,0.0,0.0
60,0.0,0.0
120,0.0,0.0
180,0.0,0.07921
240,0.0,0.0
300,0.0,0.06297
360,0.0,0.12664999999999998
420,0.0,0.0
480,0.0,0.0
540,0.0,0.0
600,0.0,0.0
660,0.0,0.02902
720,0.0,0.0
780,0.0,0.0
840,0.0,0.06767000000000001
900,0.0,0.14243
960,0.0,0.12911
1020,0.0,0.0
1080,0.0,0.21638000000000002
1140,0.0,0.09517
1200,0.0,0.10977
1260,0.0,0.0
1320,0.0,0.12803
1380,0.0,0.0
1440,0.0,0.02767
1500,0.0,0.26269
1560,0.0,0.02739
1620,0.0,0.17931
1680,0.0,0.48692
1740,0.0,0.0
1800,0.0,0.0
1860,0.0,0.0
1920,0.0,0.0
1980,0.0,0.0
2040,0.0,0.08587
2100,0.0,0.06779
2160,0.0,0.04164
2220,0.0,0.0
2280,0.0,0.0381
2340,0.0,0.04725
2400,0.0,0.01795
2460,0.0,0.13637
2520,0.0,0.06745
2580,0.0,0.05583
2640,0.0,0.0
2700,0.0,0.05142
2760,0.0,0.05479
2820,0.0,0.0
2880,0.0,0.1658
2940,0.0,0.04398
3000,0.0,0.03584
3060,0.0,0.23535
3120,0.0,0.0
3180,0.0,0.0
3240,0.0,0.0
3300,0.0,0.06195
3360,0.0,0.06248
3420,0.0,0.06291
3480,0.0,0.0
3540,0.0,0.0
3600,0.0,0.16416
3660,0.0,0.0
3720,0.0,0.06345
3780,0.0,0.0
3840,0.0,0.21813
3900,0.0,0.0
3960,0.0,0.0
4020,0.0,0.0
4080,0.0,0.0
4140,0.0,0.0
4200,0.0,0.0
4260,0.0,0.03078
4320,0.0,0.14456
4380,0.0,0.14096
4440,0.0,0.11422
4500,0.0,0.0
4560,0.0,0.05279
4620,0.0,0.13931000000000002
4680,0.0,0.07248
4740,0.0,0.0
4800,0.0,0.0
4860,0.0,0.04283
4920,0.0,0.18308000000000002
4980,0.0,0.16911
5040,0.0,0.0
5100,0.0,0.10146
5160,0.0,0.03893
5220,0.0,0.03173
5280,0.0,0.0
5340,0.0,0.0
5400,0.0,0.06667000000000001
5460,0.0,0.15045
5520,0.0,0.16893
5580,0.0,0.12962
5640,0.0,0.0
5700,0.0,0.15348
5760,0.0,0.04198
5820,0.0,0.0
5880,0.0,0.0
5940,0.0,0.0
6000,0.0,0.0
6060,0.0,0.02467
6120,0.0,0.0
6180,0.0,0.0
6240,0.0,0.04489
6300,0.0,0.0
6360,0.0,0.0
6420,0.0,0.03839
6480,0.0,0.0
6540,0.0,0.0189
6600,0.0,0.08839
6660,0.0,0.10557
6720,0.0,0.0
6780,0.0,0.0
6840,0.0,0.21794000000000002
6900,0.0,0.1202
6960,0.0,0.0
7020,0.0,0.0
7080,0.0,0.0
7140,0.0,0.0455
