request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,BasicRequest,1,60,60,2988;-1;-1,2976;-1;-1,,,,,134.3821430723187,1582.840839174761,0:t_wait:69.18022469987815;t_drive:164.3821430723187;fare:158;vid:0,,,0,11,129.18022469987815,293.56236777219675,158,0
0,BasicRequest,1,60,60,2973;-1;-1,2968;-1;-1,,,,,210.33560283374288,2456.135150468651,0:t_wait:26.959470403622163;t_drive:240.33560283374288;fare:245;vid:8,,,0,8,86.95947040362215,327.2950732373649,245,0
7,BasicRequest,1,180,180,2991;-1;-1,2992;-1;-1,,,,,35.86219739568159,498.08607494002206,0:t_wait:124.62553221223015;t_drive:65.86219739568162;fare:100;vid:10,,,0,10,304.6255322122302,370.4877296079117,100,0
6,BasicRequest,1,180,180,2970;-1;-1,2974;-1;-1,,,,,171.40087382851814,1831.1908244961664,0:t_wait:67.58479355230037;t_drive:201.40087382851817;fare:183;vid:6,,,0,6,247.58479355230034,448.9856673808184,183,0
8,BasicRequest,1,240,240,2972;-1;-1,2982;-1;-1,,,,,207.37430426614094,2174.530711170986,0:t_wait:52.515942102719634;t_drive:237.37430426614088;fare:217;vid:0,,,0,2,292.51594210271963,529.8902463688605,217,0
1,BasicRequest,1,60,60,2969;-1;-1,2986;-1;-1,,,,,237.17544633434414,2168.5367546436687,0:t_wait:229.50923476233936;t_drive:369.0326703343442;fare:216;vid:8,,,0,6,170.60133076233936,485.5360570966834,216,0
11,BasicRequest,1,300,300,2984;-1;-1,2979;-1;-1,,,,,129.35824511263414,1077.9853759386178,0:t_wait:162.18415875113845;t_drive:159.35824511263417;fare:107;vid:5,,,0,5,432.1841587511386,591.5424038637726,107,0
9,BasicRequest,1,240,240,2974;-1;-1,2984;-1;-1,,,,,76.72125937032003,685.0623045417705,0:t_wait:115.4628993808185;t_drive:106.72125937032001;fare:100;vid:1,,,0,6,448.9856673808184,598.8943027511385,100,0
5,BasicRequest,1,180,180,2981;-1;-1,2986;-1;-1,,,,,145.75221823654294,1365.123481873401,0:t_wait:132.13105257442635;t_drive:244.08203537940005;fare:136;vid:7,,,0,7,312.1310525744264,556.2130879538264,136,0
14,BasicRequest,1,360,360,2973;-1;-1,2979;-1;-1,,,,,214.42192888872188,2029.9896384970039,0:t_wait:86.95947040362216;t_drive:244.42192888872182;fare:202;vid:3,,,0,0,386.9594704036221,631.3813992923439,202,0
4,BasicRequest,1,120,120,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:221.92550046542425;t_drive:274.3633171424876;fare:249;vid:11,,,0,11,341.92550046542414,616.2888176079115,249,0
10,BasicRequest,1,300,300,2979;-1;-1,2982;-1;-1,,,,,48.027808219373625,400.2317351614469,0:t_wait:286.5612587209156;t_drive:78.02780821937358;fare:100;vid:9,,,0,5,591.5424038637726,669.5702120831462,100,0
3,BasicRequest,1,120,120,2979;-1;-1,2972;-1;-1,,,,,248.48565138180408,2598.7980239904605,0:t_wait:201.54240386377262;t_drive:278.48565138180413;fare:259;vid:7,,,0,7,378.31029300662993,686.795944388434,259,0
12,BasicRequest,1,360,360,2990;-1;-1,2980;-1;-1,,,,,183.0318893854258,2002.113969023027,0:t_wait:111.27002435583734;t_drive:213.03188938542587;fare:200;vid:8,,,0,8,471.27002435583734,684.3019137412629,200,0
13,BasicRequest,1,360,360,2971;-1;-1,2966;-1;-1,,,,,293.52613269204465,2495.731738892211,0:t_wait:126.61743444612722;t_drive:323.52613269204465;fare:249;vid:1,,,0,3,486.6174344461271,810.1435671381715,249,0
22,BasicRequest,1,660,660,2983;-1;-1,2976;-1;-1,,,,,40.54091773259992,286.85326681928507,0:t_wait:87.07551403959678;t_drive:70.54091773259995;fare:100;vid:5,,,0,5,747.0755140395967,817.6164317721966,100,0
18,BasicRequest,1,540,540,2985;-1;-1,2981;-1;-1,,,,,118.68608378068984,1026.684046143721,0:t_wait:133.80319279373634;t_drive:148.68608378068984;fare:102;vid:6,,,0,6,673.8031927937365,822.4892765744262,102,0
15,BasicRequest,1,420,420,2969;-1;-1,2975;-1;-1,,,,,235.2593142078593,2740.0593236874183,0:t_wait:59.78738858299903;t_drive:265.25931420785923;fare:274;vid:10,,,0,10,479.7873885829991,815.046062790858,274,0
20,BasicRequest,1,600,600,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:58.078906640971695;t_drive:156.96715614988648;fare:155;vid:10,,,0,10,658.0789066409714,815.046062790858,155,0
26,BasicRequest,1,660,660,2979;-1;-1,2969;-1;-1,,,,,176.08738061285237,2297.2581998185124,0:t_wait:228.66851700662983;t_drive:206.08738061285248;fare:229;vid:6,,,0,0,661.3813992923439,867.4687799051962,229,0
