,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.6875242426836715,2982,7450.310875618093
1,0,1,0.855375909450122,2978,7200.0
2,0,2,0.9124309102912002,2984,7200.0
3,0,3,0.7609003965199391,2984,7397.7462243475165
4,0,4,0.8195693628221621,2966,7200.0
5,0,5,0.9313074465535445,2968,7349.923863685064
6,0,6,0.5395113657792109,2968,7200.0
7,0,7,0.7681599620983138,2980,7200.0
8,0,8,0.8955253375727792,2992,7291.776118845569
9,0,9,0.9589017350787093,2981,7200.0
10,0,10,0.941861308168104,2987,7303.083779447211
11,0,11,0.8863468848430935,2980,7200.0
