sim_time,reservation_time_trigger,charging_strategy,user_requests
0,0.0,0.0,0.0
60,0.0,0.0,0.0
120,0.0,0.0,0.0
180,0.0,0.06,0.0815
240,0.0,0.0,0.0
300,0.0,0.061,0.03718
360,0.0,0.0,0.06851
420,0.0,0.0,0.0
480,0.0,0.0,0.0
540,0.0,0.0,0.0
600,0.0,0.0,0.0
660,0.0,0.0,0.03316
720,0.0,0.0,0.0
780,0.0,0.0,0.0
840,0.0,0.108,0.08709
900,0.0,0.0,0.08947
960,0.0,0.0,0.0682
1020,0.0,0.0,0.0
1080,0.0,0.0,0.1217
1140,0.0,0.0,0.06401
1200,0.0,0.0,0.06844
1260,0.0,0.0,0.0
1320,0.0,0.051,0.0322
1380,0.0,0.0,0.0
1440,0.0,0.0,0.033
1500,0.0,0.0,0.10164
1560,0.0,0.0,0.02455
1620,0.0,0.0,0.05759
1680,0.0,0.0,0.11409
1740,0.0,0.061,0.0
1800,0.0,0.0,0.0
1860,0.0,0.0,0.0
1920,0.0,0.0,0.0
1980,0.0,0.0,0.0
2040,0.0,0.0,0.048049999999999995
2100,0.0,0.0,0.07727
2160,0.0,0.0,0.03528
2220,0.0,0.0,0.0
2280,0.0,0.061,0.03258
2340,0.0,0.0,0.03529
2400,0.0,0.0,0.02185
2460,0.0,0.0,0.04121
2520,0.0,0.0,0.04168
2580,0.0,0.0,0.03006
2640,0.0,0.0,0.0
2700,0.0,0.0,0.06108
2760,0.0,0.0,0.04977
2820,0.0,0.0,0.0
2880,0.0,0.0,0.0991
2940,0.0,0.0,0.03687
3000,0.0,0.0,0.04468
3060,0.0,0.0,0.20936
3120,0.0,0.0,0.0
3180,0.0,0.0,0.0
3240,0.0,0.0,0.0
3300,0.0,0.054,0.04539
3360,0.0,0.064,0.0315
3420,0.0,0.0,0.03883
3480,0.0,0.0,0.0
3540,0.0,0.0,0.0
3600,0.0,0.0,0.10435
3660,0.0,0.0,0.0
3720,0.0,0.0,0.08895
3780,0.0,0.0,0.0
3840,0.0,0.0,0.22699999999999998
3900,0.0,0.0,0.0
3960,0.0,0.0,0.0
4020,0.0,0.0,0.0
4080,0.0,0.0,0.0
4140,0.0,0.0,0.0
4200,0.0,0.0,0.0
4260,0.0,0.055,0.03057
4320,0.0,0.061,0.10686000000000001
4380,0.0,0.0,0.04736
4440,0.0,0.0,0.09726
4500,0.0,0.0,0.0
4560,0.0,0.0,0.03905
4620,0.0,0.063,0.09712
4680,0.0,0.0,0.03717
4740,0.0,0.0,0.0
4800,0.0,0.0,0.0
4860,0.0,0.0,0.03125
4920,0.0,0.0,0.060200000000000004
4980,0.0,0.0,0.0901
5040,0.0,0.0,0.0
5100,0.0,0.0,0.03892
5160,0.0,0.0,0.10371
5220,0.0,0.0,0.09239
5280,0.0,0.0,0.0
5340,0.0,0.053,0.0
5400,0.0,0.0,0.11913
5460,0.0,0.0,0.19014
5520,0.0,0.043,0.10981
5580,0.0,0.0,0.09634000000000001
5640,0.0,0.0,0.0
5700,0.0,0.0,0.06709999999999999
5760,0.0,0.0,0.02971
5820,0.0,0.0,0.0
5880,0.0,0.0,0.0
5940,0.0,0.0,0.0
6000,0.0,0.0,0.0
6060,0.0,0.0,0.02846
6120,0.0,0.0,0.0
6180,0.0,0.0,0.0
6240,0.0,0.0,0.0548
6300,0.0,0.0,0.0
6360,0.0,0.0,0.0
6420,0.0,0.0,0.06533
6480,0.0,0.0,0.0
6540,0.0,0.0,0.02751
6600,0.0,0.0,0.09881
6660,0.0,0.066,0.10676
6720,0.0,0.0,0.0
6780,0.0,0.0,0.0
6840,0.0,0.065,0.10056000000000001
6900,0.0,0.0,0.05759
6960,0.0,0.0,0.0
7020,0.0,0.0,0.0
7080,0.0,0.0,0.0
7140,0.0,0.052,0.04419
