,operator_id,vehicle_id,final_soc,final_node_index,final_time
0,0,0,0.687766973912754,2980,7200.0
1,0,1,0.8540271832185886,2981,7200.0
2,0,2,0.913453668073834,2980,7200.0
3,0,3,0.7602211033539734,2992,7312.503453490003
4,0,4,0.8185166274803639,2987,7343.1881034132675
5,0,5,0.9310077252941925,2982,7450.310875618093
6,0,6,0.5396010106146828,2978,7230.0
7,0,7,0.7698244987983137,2980,7200.0
8,0,8,0.8965049810384967,2968,7349.923863685064
9,0,9,0.9591543059898172,2984,7397.7462243475165
10,0,10,0.9428204408082709,2984,7200.0
11,0,11,0.8879355265430929,2980,7200.0
