request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,BasicRequest,1,60,60,2988;-1;-1,2976;-1;-1,,,,,134.3821430723187,1582.840839174761,0:t_wait:169.24732366013285;t_drive:164.38214307231868;fare:158;vid:4,,,0,6,60,224.3821430723187,158,0
5,BasicRequest,1,180,180,2981;-1;-1,2986;-1;-1,,,,,145.75221823654294,1365.123481873401,0:t_wait:0;t_drive:175.75221823654294;fare:136;vid:2,,,0,2,180.0,355.75221823654294,136,0
7,BasicRequest,1,180,180,2991;-1;-1,2992;-1;-1,,,,,35.86219739568159,498.08607494002206,0:t_wait:61.393890604318415;t_drive:65.86219739568156;fare:100;vid:3,,,0,3,241.39389060431841,307.2560879999999,100,0
10,BasicRequest,1,300,300,2979;-1;-1,2982;-1;-1,,,,,48.027808219373625,400.2317351614469,0:t_wait:37.42546113022888;t_drive:78.02780821937364;fare:100;vid:0,,,0,0,337.42546113022894,415.4532693496026,100,0
3,BasicRequest,1,120,120,2979;-1;-1,2972;-1;-1,,,,,248.48565138180408,2598.7980239904605,0:t_wait:36.17924043220353;t_drive:278.4856513818041;fare:259;vid:1,,,0,1,156.1792404322035,434.6648918140075,259,0
0,BasicRequest,1,60,60,2973;-1;-1,2968;-1;-1,,,,,210.33560283374288,2456.135150468651,0:t_wait:37.42759313231544;t_drive:240.33560283374288;fare:245;vid:6,,,0,4,226.95366879244827,467.2892716261909,245,0
6,BasicRequest,1,180,180,2970;-1;-1,2974;-1;-1,,,,,171.40087382851814,1831.1908244961664,0:t_wait:47.7124542727891;t_drive:201.40087382851817;fare:183;vid:5,,,0,5,227.71245427278907,429.11332810130716,183,0
1,BasicRequest,1,60,60,2969;-1;-1,2986;-1;-1,,,,,237.17544633434414,2168.5367546436687,0:t_wait:239.97735749103265;t_drive:369.0326703343442;fare:216;vid:6,,,0,5,117.93167148282812,465.66371781717214,216,0
11,BasicRequest,1,300,300,2984;-1;-1,2979;-1;-1,,,,,129.35824511263414,1077.9853759386178,0:t_wait:225.80825601759477;t_drive:159.3582451126341;fare:107;vid:0,,,0,6,318.3631326932274,477.72137780586166,107,0
4,BasicRequest,1,120,120,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:80.3549866679922;t_drive:274.3633171424875;fare:249;vid:7,,,0,7,200.35498666799225,474.7183038104796,249,0
9,BasicRequest,1,240,240,2974;-1;-1,2984;-1;-1,,,,,76.72125937032003,685.0623045417705,0:t_wait:152.38920452067794;t_drive:106.72125937032001;fare:100;vid:2,,,0,2,392.38920452067794,499.110463890998,100,0
8,BasicRequest,1,240,240,2972;-1;-1,2982;-1;-1,,,,,207.37430426614094,2174.530711170986,0:t_wait:194.66489181400755;t_drive:237.37430426614094;fare:217;vid:1,,,0,1,434.6648918140075,718.3217080801484,217,0
18,BasicRequest,1,540,540,2985;-1;-1,2981;-1;-1,,,,,118.68608378068984,1026.684046143721,0:t_wait:44.90889004259793;t_drive:148.68608378068984;fare:102;vid:2,,,0,2,584.9088900425979,733.5949738232877,102,0
12,BasicRequest,1,360,360,2990;-1;-1,2980;-1;-1,,,,,183.0318893854258,2002.113969023027,0:t_wait:139.41977141386207;t_drive:213.0318893854257;fare:200;vid:3,,,0,8,563.129493883602,776.1613832690275,200,0
19,BasicRequest,1,600,600,2981;-1;-1,2974;-1;-1,,,,,162.7755748063922,1500.4598469308316,0:t_wait:133.59497382328777;t_drive:192.77557480639223;fare:150;vid:2,,,0,0,626.9724713484228,819.748046154815,150,0
14,BasicRequest,1,360,360,2973;-1;-1,2979;-1;-1,,,,,214.42192888872188,2029.9896384970039,0:t_wait:139.10842011491007;t_drive:304.6331597458648;fare:202;vid:1,,,0,1,499.10842011491,803.7415798607748,202,0
13,BasicRequest,1,360,360,2971;-1;-1,2966;-1;-1,,,,,293.52613269204465,2495.731738892211,0:t_wait:284.90433683495326;t_drive:323.5261326920447;fare:249;vid:4,,,0,3,535.7648122667871,859.2909449588315,249,0
15,BasicRequest,1,420,420,2969;-1;-1,2975;-1;-1,,,,,235.2593142078593,2740.0593236874183,0:t_wait:108.92691315116531;t_drive:265.25931420785923;fare:274;vid:4,,,0,4,528.9269131511652,864.1855873590241,274,0
20,BasicRequest,1,600,600,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:107.21843120913809;t_drive:156.96715614988648;fare:155;vid:4,,,0,4,707.2184312091375,864.1855873590241,155,0
22,BasicRequest,1,660,660,2983;-1;-1,2976;-1;-1,,,,,40.54091773259992,286.85326681928507,0:t_wait:133.85582951434196;t_drive:70.54091773259995;fare:100;vid:5,,,0,2,864.0150272884582,934.5559450210582,100,0
